"Record ID","Offense Code","Offense Ext","Offense Category","Description","Police District","Beat","Grid","Occurence Date","Occurence Time"
"1147173","1313","19","BATTERY","242 PC BATTERY CIVILIAN","3","3M","0744","01/01/2016","00:00:23"
"1147207","1315","20","AGG ASSAULT","245(A)(2) AWDW-FIREARM","3","3A","0721","01/01/2016","00:01:46"
"1147225","2205","0","BURGLARY","459 PC BURG BUSINESS-NO FORCE","6","6B","1088","01/01/2016","00:01:31"
"1147227","1399","4","BATTERY","243(D) BATTERY CIVILIAN W/INJ","3","3B","0746","01/01/2016","00:01:51"
"1147229","2404","0","STOLEN VEHICLE","10851(A)VC TAKE VEH W/O OWNER","3","3B","0766","01/01/2016","00:02:23"
"1147231","2404","0","STOLEN VEHICLE","10851(A)VC TAKE VEH W/O OWNER","3","3A","0707","01/01/2016","00:03:11"
"1147233","1313","19","BATTERY","242 PC BATTERY CIVILIAN","3","3B","0746","01/01/2016","00:03:07"
"1147234","5213","5","WEAPON OFFENSE","246.3(A) PC NEGL DISCH FIREARM","2","2B","0531","01/01/2016","00:00:10"
"1147236","5213","5","WEAPON OFFENSE","246.3(A) PC NEGL DISCH FIREARM","5","5A","1393","01/01/2016","00:00:06"
"1147252","2399","2","LARCENY","484 PC PETTY THEFT","2","2C","0612","01/01/2016","00:01:00"
"1147258","3599","63","NARCOTICS","11377(A) POSS DANGEROUS DRUG","5","5C","1651","01/01/2016","00:10:25"
"1147260","2399","4","LARCENY","484 PETTY THEFT/LICENSE PLATE","1","1C","0406","01/01/2016","00:12:00"
"1147263","2205","3","BURGLARY","459.5 BURGLARY SHOPLIFT  $950","2","2C","0616","01/01/2016","00:12:30"
"1147267","3522","11","NARCOTIC","11351 HS POSS/SALE OPIATE/NARC","6","6B","1064","01/01/2016","00:07:35"
"1147269","1315","19","AGG ASSAULT","245(A)(1)AWDW-NON-FIREARM","2","2B","0563","01/01/2016","00:03:19"
"1147270","5213","4","WEAPON OFFENSE","246 PC SHOOT OCCUP DWELL/VEH","1","1C","0419","01/01/2016","00:11:44"
"1147278","2999","03","VANDALISM","594(B)(1) VANDALISM GRAF $400","2","2C","0618","02/10/2016","00:06:00"
"1147279","5404","10","TRAFFIC","23153(A) DUI W/INJURY ALCOHOL","2","2A","0204","01/01/2016","00:16:00"
"1147280","2404","0","STOLEN VEHICLE","10851(A)VC TAKE VEH W/O OWNER","2","2A","0516","01/01/2016","00:18:43"
"1147281","5404","000","TRAFFIC","23152(A) DUI ALCOHOL","1","1B","0435","01/01/2016","00:14:28"
"1147283","5212","54","WEAPON OFFENSE","21310 POSS DIRK/DAGGER-FEL","UI","UI","UI","01/01/2016","00:15:47"
"1147291","3699","24","SEX REGISTRATI","290.013 FAIL TO REG-CHG ADDR","3","3B","0748","01/01/2016","00:18:44"
"1147294","2303","1","LARCENY","487(A) PC GRAND THEFT $950","2","2C","0619","01/01/2016","00:15:52"
"1147298","2399","2","LARCENY","484 PC PETTY THEFT","2","2C","0616","01/01/2016","00:18:33"
"1147299","1299","0","ROBBERY","211 PC ROBBERY-UNSPECIFIED","2","2B","0563","01/01/2016","00:15:02"
"1147305","3599","62","NARCOTICS","11377(A) POSS DAN DRUG/SUPER X","3","3A","0725","01/02/2016","00:00:20"
"1147306","5404","000","TRAFFIC","23152(A) DUI ALCOHOL","3","3B","0747","01/01/2016","00:01:48"
"1147307","2803","04","STOLEN PROP","496D(A) PURCH STLN VEH-FEL","2","2B","0553","01/01/2016","00:02:28"
"1147309","5202","27","WEAPON OFFENSE","25400(C)(6)(B) CCW-NOT REG OWN","1","1C","0429","01/01/2016","00:22:22"
"1147322","1313","19","BATTERY","242 PC BATTERY CIVILIAN","5","5A","1396","01/01/2016","00:14:00"
"1147327","5213","5","WEAPON OFFENSE","246.3(A) PC NEGL DISCH FIREARM","2","2B","0525","01/01/2016","00:03:40"
"1147328","3599","22","NARCOTICS","11364 HS POSS DRUG PARAPH","2","2B","0564","01/02/2016","00:05:19"
"1147333","5212","54","WEAPON OFFENSE","21310 POSS DIRK/DAGGER-FEL","2","2B","0546","01/02/2016","00:00:47"
"1147335","2999","02","VANDALISM","594(B)(1) PC VANDALISM $400","5","5C","1623","01/02/2016","00:03:03"
"1147336","5404","16","TRAFFIC","23152(E) DUI DRUGS","5","5C","1605","01/01/2016","00:20:21"
"1147339","2299","01","BURGLARY","459 PC BURG VEHICLE","5","5C","1623","01/01/2016","00:10:00"
"1147341","2299","01","BURGLARY","459 PC BURG VEHICLE","6","6E","0876","01/01/2016","00:01:00"
"1147345","2404","0","STOLEN VEHICLE","10851(A)VC TAKE VEH W/O OWNER","4","4C","1255","01/01/2016","00:14:00"
"1147348","2203","0","BURGLARY","459 PC BURG BUSINESS-FORCE","4","4C","1287","01/01/2016","00:23:35"
"1147354","2099","9","ARSON","452(D)PC CAUSE FIRE OF PROPERT","6","6D","0841","01/02/2016","00:08:28"
"1147366","2404","0","STOLEN VEHICLE","10851(A)VC TAKE VEH W/O OWNER","6","6A","1034","01/01/2016","00:03:00"
"1147369","5404","000","TRAFFIC","23152(A) DUI ALCOHOL","2","2A","0516","01/02/2016","00:12:02"
"1147371","5213","5","WEAPON OFFENSE","246.3(A) PC NEGL DISCH FIREARM","2","2A","0512","01/01/2016","00:01:44"
"1147373","7399","62","SAC CITY CODE","12.52.030(A) UNLAWFUL CAMP-PUB","3","3M","0734","01/02/2016","00:00:49"
"1147374","7399","62","SAC CITY CODE","12.52.030(A) UNLAWFUL CAMP-PUB","3","3M","0734","01/02/2016","00:00:52"
"1147375","7399","62","SAC CITY CODE","12.52.030(A) UNLAWFUL CAMP-PUB","3","3M","0734","01/02/2016","00:01:30"
"1147377","4801","0","OBSTRUCTING","148(A)(1)PC RESIST PEACE OFFCR","3","3M","0734","01/02/2016","00:00:57"
"1147378","4801","0","OBSTRUCTING","148(A)(1)PC RESIST PEACE OFFCR","3","3M","0734","01/02/2016","00:01:09"
